state,district,poverty_abs_2019,poverty_abs_2022,poverty_rel_2019,poverty_rel_2022,poverty_abs_change,poverty_rel_change
Sarawak,Selangau,14.3,19.6,38.2,38.0,5.300000000000001,-0.20000000000000284
Sarawak,Serian,16.8,14.6,20.0,22.7,-2.200000000000001,2.6999999999999993
Sarawak,Sibu,7.3,10.2,11.0,14.8,2.8999999999999995,3.8000000000000007
Sarawak,Simunjan,21.1,17.9,35.6,33.8,-3.200000000000003,-1.8000000000000043
Sarawak,Song,6.0,15.8,40.0,41.2,9.8,1.2000000000000028
Sarawak,Sri Aman,7.4,8.9,20.7,28.4,1.5,7.699999999999999
Sarawak,Subis,7.5,4.7,10.0,14.0,-2.8,4.0
Sarawak,Tanjung Manis,3.4,20.7,25.0,33.7,17.3,8.700000000000003
Sarawak,Tatau,5.0,5.9,8.7,14.1,0.9000000000000004,5.4
Sarawak,Tebedu,38.6,26.9,40.3,44.1,-11.700000000000003,3.8000000000000043
Sarawak,Telang Usan,13.6,6.0,23.7,20.5,-7.6,-3.1999999999999993
Selangor,Gombak,0.4,2.4,14.5,13.8,2.0,-0.6999999999999993
Selangor,Klang,1.7,2.2,16.6,20.3,0.5000000000000002,3.6999999999999993
Selangor,Kuala Langat,2.4,0.3,19.7,9.4,-2.1,-10.299999999999999
Selangor,Kuala Selangor,3.5,2.8,30.4,25.2,-0.7000000000000002,-5.199999999999999
Selangor,Petaling,1.1,1.6,14.4,14.9,0.5,0.5
Selangor,Sabak Bernam,4.7,5.3,46.2,42.6,0.5999999999999996,-3.6000000000000014
Selangor,Sepang,0.7,0.0,7.9,3.4,-0.7,-4.5
Selangor,Ulu Langat,0.6,0.5,10.5,7.0,-0.09999999999999998,-3.5
Selangor,Ulu Selangor,1.5,1.7,26.6,23.9,0.19999999999999996,-2.700000000000003
Terengganu,Besut,10.1,12.7,9.5,11.3,2.5999999999999996,1.8000000000000007
Terengganu,Dungun,5.1,2.2,6.1,2.4,-2.8999999999999995,-3.6999999999999997
Terengganu,Hulu Terengganu,7.9,10.8,19.7,16.2,2.9000000000000004,-3.5
Terengganu,Kemaman,4.6,4.1,5.6,5.8,-0.5,0.20000000000000018
Terengganu,Kuala Nerus,5.4,1.9,7.9,3.5,-3.5000000000000004,-4.4
Terengganu,Kuala Terengganu,4.4,5.9,4.8,5.0,1.5,0.20000000000000018
Terengganu,Marang,8.2,9.0,12.0,11.8,0.8000000000000007,-0.1999999999999993
Terengganu,Setiu,6.5,7.5,11.1,6.0,1.0,-5.1
W.P. Kuala Lumpur,W.P. Kuala Lumpur,0.2,1.4,10.6,12.7,1.2,2.0999999999999996
W.P. Labuan,W.P. Labuan,3.1,2.5,12.9,7.0,-0.6000000000000001,-5.9
W.P. Putrajaya,W.P. Putrajaya,0.4,0.1,12.1,11.4,-0.30000000000000004,-0.6999999999999993
