date,division,inflation_yoy,inflation_mom,year,month,division_label
1992-01-01,01,6.1,0.6,1992,1,Food & Non-Alcoholic Beverages
1992-02-01,01,6.4,0.2,1992,2,Food & Non-Alcoholic Beverages
1992-03-01,01,6.3,0.4,1992,3,Food & Non-Alcoholic Beverages
1992-04-01,01,7.1,2.2,1992,4,Food & Non-Alcoholic Beverages
1992-05-01,01,7.6,1.2,1992,5,Food & Non-Alcoholic Beverages
1992-06-01,01,5.7,0.0,1992,6,Food & Non-Alcoholic Beverages
1992-07-01,01,7.2,-0.2,1992,7,Food & Non-Alcoholic Beverages
1992-08-01,01,7.6,0.6,1992,8,Food & Non-Alcoholic Beverages
1992-09-01,01,8.5,-0.2,1992,9,Food & Non-Alcoholic Beverages
1992-10-01,01,6.2,-1.3,1992,10,Food & Non-Alcoholic Beverages
1992-11-01,01,5.3,0.0,1992,11,Food & Non-Alcoholic Beverages
1992-12-01,01,4.2,0.8,1992,12,Food & Non-Alcoholic Beverages
1993-01-01,01,3.2,-0.4,1993,1,Food & Non-Alcoholic Beverages
1993-02-01,01,2.8,-0.2,1993,2,Food & Non-Alcoholic Beverages
1993-03-01,01,2.6,0.2,1993,3,Food & Non-Alcoholic Beverages
1993-04-01,01,1.2,0.8,1993,4,Food & Non-Alcoholic Beverages
1993-05-01,01,0.4,0.4,1993,5,Food & Non-Alcoholic Beverages
1993-06-01,01,1.3,1.0,1993,6,Food & Non-Alcoholic Beverages
1993-07-01,01,2.5,0.9,1993,7,Food & Non-Alcoholic Beverages
1993-08-01,01,0.8,-1.1,1993,8,Food & Non-Alcoholic Beverages
1993-09-01,01,1.0,0.0,1993,9,Food & Non-Alcoholic Beverages
1993-10-01,01,3.1,0.8,1993,10,Food & Non-Alcoholic Beverages
1993-11-01,01,4.5,1.3,1993,11,Food & Non-Alcoholic Beverages
1993-12-01,01,4.2,0.6,1993,12,Food & Non-Alcoholic Beverages
1994-01-01,01,5.8,1.1,1994,1,Food & Non-Alcoholic Beverages
1994-02-01,01,8.9,2.7,1994,2,Food & Non-Alcoholic Beverages
1994-03-01,01,7.5,-1.1,1994,3,Food & Non-Alcoholic Beverages
1994-04-01,01,5.8,-0.9,1994,4,Food & Non-Alcoholic Beverages
1994-05-01,01,5.5,0.2,1994,5,Food & Non-Alcoholic Beverages
1994-06-01,01,3.8,-0.7,1994,6,Food & Non-Alcoholic Beverages
1994-07-01,01,3.0,0.2,1994,7,Food & Non-Alcoholic Beverages
1994-08-01,01,4.0,-0.2,1994,8,Food & Non-Alcoholic Beverages
1994-09-01,01,5.1,1.1,1994,9,Food & Non-Alcoholic Beverages
1994-10-01,01,4.9,0.5,1994,10,Food & Non-Alcoholic Beverages
1994-11-01,01,4.5,0.9,1994,11,Food & Non-Alcoholic Beverages
1994-12-01,01,4.8,0.9,1994,12,Food & Non-Alcoholic Beverages
1995-01-01,01,4.6,0.9,1995,1,Food & Non-Alcoholic Beverages
1995-02-01,01,3.0,1.2,1995,2,Food & Non-Alcoholic Beverages
1995-03-01,01,3.6,-0.5,1995,3,Food & Non-Alcoholic Beverages
1995-04-01,01,4.2,-0.3,1995,4,Food & Non-Alcoholic Beverages
1995-05-01,01,5.1,1.0,1995,5,Food & Non-Alcoholic Beverages
1995-06-01,01,5.5,-0.3,1995,6,Food & Non-Alcoholic Beverages
1995-07-01,01,5.6,0.3,1995,7,Food & Non-Alcoholic Beverages
1995-08-01,01,6.0,0.2,1995,8,Food & Non-Alcoholic Beverages
1995-09-01,01,5.4,0.5,1995,9,Food & Non-Alcoholic Beverages
1995-10-01,01,5.4,0.5,1995,10,Food & Non-Alcoholic Beverages
1995-11-01,01,5.2,0.7,1995,11,Food & Non-Alcoholic Beverages
1995-12-01,01,4.8,0.5,1995,12,Food & Non-Alcoholic Beverages
1996-01-01,01,4.9,1.0,1996,1,Food & Non-Alcoholic Beverages
1996-02-01,01,4.8,1.2,1996,2,Food & Non-Alcoholic Beverages
1996-03-01,01,4.7,-0.7,1996,3,Food & Non-Alcoholic Beverages
1996-04-01,01,6.1,1.0,1996,4,Food & Non-Alcoholic Beverages
1996-05-01,01,5.3,0.3,1996,5,Food & Non-Alcoholic Beverages
1996-06-01,01,6.1,0.3,1996,6,Food & Non-Alcoholic Beverages
1996-07-01,01,6.7,1.0,1996,7,Food & Non-Alcoholic Beverages
1996-08-01,01,6.2,-0.3,1996,8,Food & Non-Alcoholic Beverages
1996-09-01,01,6.5,0.8,1996,9,Food & Non-Alcoholic Beverages
1996-10-01,01,6.0,0.0,1996,10,Food & Non-Alcoholic Beverages
1996-11-01,01,6.3,1.0,1996,11,Food & Non-Alcoholic Beverages
1996-12-01,01,6.4,0.6,1996,12,Food & Non-Alcoholic Beverages
1997-01-01,01,5.8,0.5,1997,1,Food & Non-Alcoholic Beverages
1997-02-01,01,5.8,1.1,1997,2,Food & Non-Alcoholic Beverages
1997-03-01,01,6.0,-0.5,1997,3,Food & Non-Alcoholic Beverages
1997-04-01,01,4.3,-0.6,1997,4,Food & Non-Alcoholic Beverages
1997-05-01,01,3.9,0.0,1997,5,Food & Non-Alcoholic Beverages
1997-06-01,01,3.3,-0.3,1997,6,Food & Non-Alcoholic Beverages
1997-07-01,01,2.6,0.3,1997,7,Food & Non-Alcoholic Beverages
1997-08-01,01,3.1,0.2,1997,8,Food & Non-Alcoholic Beverages
1997-09-01,01,3.1,0.8,1997,9,Food & Non-Alcoholic Beverages
1997-10-01,01,3.9,0.8,1997,10,Food & Non-Alcoholic Beverages
1997-11-01,01,3.0,0.2,1997,11,Food & Non-Alcoholic Beverages
1997-12-01,01,3.6,1.2,1997,12,Food & Non-Alcoholic Beverages
1998-01-01,01,5.0,1.8,1998,1,Food & Non-Alcoholic Beverages
1998-02-01,01,6.7,2.7,1998,2,Food & Non-Alcoholic Beverages
1998-03-01,01,8.3,1.0,1998,3,Food & Non-Alcoholic Beverages
1998-04-01,01,9.4,0.4,1998,4,Food & Non-Alcoholic Beverages
1998-05-01,01,9.8,0.3,1998,5,Food & Non-Alcoholic Beverages
1998-06-01,01,11.7,1.4,1998,6,Food & Non-Alcoholic Beverages
1998-07-01,01,10.4,-0.8,1998,7,Food & Non-Alcoholic Beverages
1998-08-01,01,9.9,-0.3,1998,8,Food & Non-Alcoholic Beverages
1998-09-01,01,9.2,0.1,1998,9,Food & Non-Alcoholic Beverages
