date,division,inflation_yoy,inflation_mom,year,month,division_label
1995-11-01,overall,3.3,0.4,1995,11,Overall CPI
1995-12-01,overall,3.2,0.3,1995,12,Overall CPI
1996-01-01,overall,3.4,0.6,1996,1,Overall CPI
1996-02-01,overall,3.5,0.7,1996,2,Overall CPI
1996-03-01,overall,3.2,-0.4,1996,3,Overall CPI
1996-04-01,overall,3.8,0.6,1996,4,Overall CPI
1996-05-01,overall,3.5,0.4,1996,5,Overall CPI
1996-06-01,overall,3.6,0.1,1996,6,Overall CPI
1996-07-01,overall,3.8,0.3,1996,7,Overall CPI
1996-08-01,overall,3.6,0.0,1996,8,Overall CPI
1996-09-01,overall,3.6,0.4,1996,9,Overall CPI
1996-10-01,overall,3.5,0.0,1996,10,Overall CPI
1996-11-01,overall,3.3,0.3,1996,11,Overall CPI
1996-12-01,overall,3.3,0.3,1996,12,Overall CPI
1997-01-01,overall,3.1,0.4,1997,1,Overall CPI
1997-02-01,overall,3.0,0.6,1997,2,Overall CPI
1997-03-01,overall,3.3,-0.1,1997,3,Overall CPI
1997-04-01,overall,2.5,-0.1,1997,4,Overall CPI
1997-05-01,overall,2.5,0.4,1997,5,Overall CPI
1997-06-01,overall,2.2,-0.1,1997,6,Overall CPI
1997-07-01,overall,2.1,0.1,1997,7,Overall CPI
1997-08-01,overall,2.4,0.3,1997,8,Overall CPI
1997-09-01,overall,2.2,0.3,1997,9,Overall CPI
1997-10-01,overall,2.6,0.4,1997,10,Overall CPI
1997-11-01,overall,2.6,0.3,1997,11,Overall CPI
1997-12-01,overall,2.9,0.5,1997,12,Overall CPI
1998-01-01,overall,3.4,0.9,1998,1,Overall CPI
1998-02-01,overall,4.4,1.5,1998,2,Overall CPI
1998-03-01,overall,5.2,0.7,1998,3,Overall CPI
1998-04-01,overall,5.5,0.1,1998,4,Overall CPI
1998-05-01,overall,5.3,0.3,1998,5,Overall CPI
1998-06-01,overall,6.3,0.8,1998,6,Overall CPI
1998-07-01,overall,5.9,-0.3,1998,7,Overall CPI
1998-08-01,overall,5.7,0.1,1998,8,Overall CPI
1998-09-01,overall,5.6,0.1,1998,9,Overall CPI
1998-10-01,overall,5.2,0.0,1998,10,Overall CPI
1998-11-01,overall,5.7,0.8,1998,11,Overall CPI
1998-12-01,overall,5.2,0.1,1998,12,Overall CPI
1999-01-01,overall,5.2,0.9,1999,1,Overall CPI
1999-02-01,overall,3.8,0.1,1999,2,Overall CPI
1999-03-01,overall,3.0,-0.1,1999,3,Overall CPI
1999-04-01,overall,2.9,0.0,1999,4,Overall CPI
1999-05-01,overall,3.0,0.4,1999,5,Overall CPI
1999-06-01,overall,2.1,-0.1,1999,6,Overall CPI
1999-07-01,overall,2.5,0.1,1999,7,Overall CPI
1999-08-01,overall,2.2,-0.1,1999,8,Overall CPI
1999-09-01,overall,2.1,0.0,1999,9,Overall CPI
1999-10-01,overall,2.1,0.0,1999,10,Overall CPI
1999-11-01,overall,1.5,0.3,1999,11,Overall CPI
1999-12-01,overall,2.6,1.1,1999,12,Overall CPI
2000-01-01,overall,1.6,0.0,2000,1,Overall CPI
2000-02-01,overall,1.6,0.1,2000,2,Overall CPI
2000-03-01,overall,1.6,-0.1,2000,3,Overall CPI
2000-04-01,overall,1.6,0.0,2000,4,Overall CPI
2000-05-01,overall,1.4,0.1,2000,5,Overall CPI
2000-06-01,overall,1.5,0.0,2000,6,Overall CPI
2000-07-01,overall,1.5,0.1,2000,7,Overall CPI
2000-08-01,overall,1.6,0.0,2000,8,Overall CPI
2000-09-01,overall,1.6,0.0,2000,9,Overall CPI
2000-10-01,overall,1.9,0.2,2000,10,Overall CPI
2000-11-01,overall,1.9,0.2,2000,11,Overall CPI
2000-12-01,overall,1.1,0.4,2000,12,Overall CPI
2001-01-01,overall,1.5,0.4,2001,1,Overall CPI
2001-02-01,overall,1.5,0.1,2001,2,Overall CPI
2001-03-01,overall,1.5,-0.1,2001,3,Overall CPI
2001-04-01,overall,1.6,0.1,2001,4,Overall CPI
2001-05-01,overall,1.5,0.0,2001,5,Overall CPI
2001-06-01,overall,1.5,0.0,2001,6,Overall CPI
2001-07-01,overall,1.4,0.0,2001,7,Overall CPI
2001-08-01,overall,1.2,-0.1,2001,8,Overall CPI
2001-09-01,overall,1.4,0.1,2001,9,Overall CPI
2001-10-01,overall,1.0,-0.1,2001,10,Overall CPI
2001-11-01,overall,1.5,0.7,2001,11,Overall CPI
2001-12-01,overall,1.2,0.1,2001,12,Overall CPI
2002-01-01,overall,1.1,0.2,2002,1,Overall CPI
2002-02-01,overall,1.2,0.2,2002,2,Overall CPI
2002-03-01,overall,2.1,0.7,2002,3,Overall CPI
2002-04-01,overall,1.8,-0.1,2002,4,Overall CPI
2002-05-01,overall,2.0,0.1,2002,5,Overall CPI
2002-06-01,overall,2.1,0.1,2002,6,Overall CPI
2002-07-01,overall,2.1,0.0,2002,7,Overall CPI
2002-08-01,overall,2.1,-0.1,2002,8,Overall CPI
2002-09-01,overall,2.1,0.1,2002,9,Overall CPI
2002-10-01,overall,2.1,-0.1,2002,10,Overall CPI
2002-11-01,overall,1.6,0.2,2002,11,Overall CPI
2002-12-01,overall,1.6,0.1,2002,12,Overall CPI
2003-01-01,overall,3.9,2.5,2003,1,Overall CPI
2003-02-01,overall,3.8,0.1,2003,2,Overall CPI
2003-03-01,overall,2.5,-0.5,2003,3,Overall CPI
2003-04-01,overall,2.7,0.0,2003,4,Overall CPI
2003-05-01,overall,1.6,-0.9,2003,5,Overall CPI
2003-06-01,overall,1.1,-0.4,2003,6,Overall CPI
2003-07-01,overall,1.0,-0.1,2003,7,Overall CPI
2003-08-01,overall,0.0,-1.1,2003,8,Overall CPI
2003-09-01,overall,-0.1,0.0,2003,9,Overall CPI
2003-10-01,overall,-0.5,-0.5,2003,10,Overall CPI
2003-11-01,overall,-1.2,-0.5,2003,11,Overall CPI
2003-12-01,overall,-1.8,-0.5,2003,12,Overall CPI
2004-01-01,overall,-0.5,3.9,2004,1,Overall CPI
2004-02-01,overall,-0.5,0.1,2004,2,Overall CPI
2004-03-01,overall,-0.2,-0.2,2004,3,Overall CPI
2004-04-01,overall,0.0,0.2,2004,4,Overall CPI
2004-05-01,overall,0.9,0.0,2004,5,Overall CPI
