date,state,district,income_mean,income_median,expenditure_mean,gini,poverty,year,savings_rate,income_expenditure_ratio
2022-01-01,Sabah,Sandakan,6030,4828,3315,0.34659,17.7,2022,45.024875621890544,1.8190045248868778
2022-01-01,Sabah,Kinabatangan,5543,4162,2394,0.39224,28.9,2022,56.81039148475555,2.3153717627401837
2022-01-01,Sabah,Beluran,4501,3131,2301,0.39895,37.7,2022,48.87802710508776,1.9561060408518036
2022-01-01,Sabah,Kota Kinabalu,8388,5957,4427,0.43131,10.3,2022,47.22222222222222,1.894736842105263
2022-01-01,Sabah,Ranau,5270,4058,2894,0.37495,25.4,2022,45.0853889943074,1.821008984105045
2022-01-01,Sabah,Kota Belud,4949,3429,2791,0.42499,27.8,2022,43.60476864012932,1.7731995700465784
2022-01-01,Sabah,Tuaran,5166,3921,3133,0.36609,25.8,2022,39.353464963221064,1.6488988190233003
2022-01-01,Sabah,Penampang,7491,6265,4194,0.32997,6.7,2022,44.01281537845414,1.7861230329041489
2022-01-01,Sabah,Papar,5980,4871,3494,0.34067,16.2,2022,41.57190635451505,1.7115054378935317
2022-01-01,Sabah,Kudat,4049,2994,3080,0.36898,34.7,2022,23.931835020992835,1.3146103896103896
2022-01-01,Sabah,Kota Marudu,4031,2677,2951,0.41883,49.9,2022,26.79235921607542,1.3659776347001016
2022-01-01,Sabah,Pitas,3406,2329,2562,0.3857,52.7,2022,24.779800352319437,1.3294301327088212
2022-01-01,Sabah,Beaufort,4902,4018,3141,0.33769,19.8,2022,35.92411260709915,1.5606494746895894
2022-01-01,Sabah,Kuala Penyu,4311,3487,2777,0.32354,17.6,2022,35.58339132451867,1.5523946705077423
2022-01-01,Sabah,Sipitang,5479,4182,3093,0.36014,22.1,2022,43.548092717649205,1.7714193339799547
2022-01-01,Sabah,Tenom,5217,4045,3267,0.33645,15.8,2022,37.37780333525014,1.5968778696051424
2022-01-01,Sabah,Nabawan,5016,4110,3228,0.31094,27.1,2022,35.645933014354064,1.553903345724907
2022-01-01,Sabah,Keningau,5979,4502,3478,0.35953,18.8,2022,41.82973741428332,1.7190914318573893
2022-01-01,Sabah,Tambunan,5113,4055,3278,0.3373,9.0,2022,35.888910619988266,1.5597925564368518
2022-01-01,Sabah,Kunak,5838,4480,2755,0.35178,25.4,2022,52.80918122644741,2.1190562613430126
2022-01-01,Sabah,Tongod,4019,2856,2445,0.34681,50.8,2022,39.16397113709878,1.643762781186094
2022-01-01,Sabah,Putatan,7110,5699,4047,0.35061,12.9,2022,43.08016877637131,1.7568569310600444
2022-01-01,Sabah,Telupid,4819,3953,2538,0.32068,20.8,2022,47.33347167462129,1.8987391646966114
2022-01-01,Sabah,Kalabakan,4938,3931,2019,0.36775,33.3,2022,59.11300121506683,2.445765230312036
2022-01-01,Sarawak,Kuching,7588,5968,4687,0.37551,9.1,2022,38.231418028465995,1.618946020908897
2022-01-01,Sarawak,Bau,5621,4735,3581,0.36026,8.3,2022,36.292474648639036,1.5696732756213347
2022-01-01,Sarawak,Lundu,4935,3692,3161,0.35239,13.1,2022,35.947315096251266,1.561214805441316
2022-01-01,Sarawak,Samarahan,7123,5953,4475,0.32422,7.9,2022,37.175347465955355,1.591731843575419
2022-01-01,Sarawak,Serian,4988,4074,3515,0.34489,14.6,2022,29.530874097834804,1.4190611664295876
2022-01-01,Sarawak,Simunjan,3917,3196,2874,0.31353,17.9,2022,26.627521062037275,1.3629088378566458
2022-01-01,Sarawak,Sri Aman,4881,3704,3071,0.39516,8.9,2022,37.082565048145874,1.5893845652881797
2022-01-01,Sarawak,Lubok Antu,4129,3548,3178,0.35162,14.8,2022,23.032211189149915,1.2992448080553807
2022-01-01,Sarawak,Betong,4422,3685,2849,0.30527,9.8,2022,35.57213930348259,1.5521235521235521
2022-01-01,Sarawak,Saratok,4621,3763,2974,0.28976,7.4,2022,35.64163600952175,1.5537995965030262
2022-01-01,Sarawak,Sarikei,5440,3528,3078,0.44869,20.9,2022,43.419117647058826,1.7673814165042234
2022-01-01,Sarawak,Maradong,4117,3259,2674,0.36177,19.5,2022,35.049793538984694,1.5396409872849663
2022-01-01,Sarawak,Daro,4368,3373,2997,0.38918,32.5,2022,31.387362637362635,1.4574574574574575
2022-01-01,Sarawak,Julau,3548,2652,2842,0.37387,31.2,2022,19.898534385569334,1.2484166080225194
2022-01-01,Sarawak,Sibu,6645,5248,4366,0.37413,10.2,2022,34.29646350639579,1.5219880897847
2022-01-01,Sarawak,Dalat,4841,4057,3044,0.31471,11.1,2022,37.12042966329271,1.590341655716163
